bio,lemmatized_tokens,flag_classification,reason
Caffeine-dependent disaster,"['caffeinedependent', 'disaster']",🤷‍♂️No Clear Signal,[]
Movie marathons and messy hair.,"['movie', 'marathon', 'messy', 'hair']",🚩Red Flag,['messy']
"Fluent in sarcasm, bad jokes, and eye rolls.","['fluent', 'sarcasm', 'bad', 'joke', 'eye', 'roll']",🙂Mixed Signal,"['fluent', 'eye', 'sarcasm', 'bad']"
"Adventure junkie, flakes mid-trip.","['adventure', 'junkie', 'flake', 'midtrip']",🚩Red Flag,['flake']
naps are my superpower,"['nap', 'superpower']",🤷‍♂️No Clear Signal,[]
"Obsessed with memes, coffee, and bad decisions. ☕😂","['obsessed', 'meme', 'coffee', 'bad', 'decision']",🙂Mixed Signal,"['coffee', 'obsessed', 'bad']"
honestly idc,"['honestly', 'idc']",🤷‍♂️No Clear Signal,[]
"Amateur poet, professional overthinker.","['amateur', 'poet', 'professional', 'overthinker']",🌿Green Flag,['professional']
Amateur chef with a taste for adventure.,"['amateur', 'chef', 'taste', 'adventure']",🤷‍♂️No Clear Signal,[]
Can eat 10 samosas in one sitting,"['eat', 'samosa', 'one', 'sitting']",🤷‍♂️No Clear Signal,[]
"Wine lover, flaky.","['wine', 'lover', 'flaky']",🌿Green Flag,['lover']
Flirt level: expert,"['flirt', 'level', 'expert']",🚩Red Flag,['flirt']
chaos incarnate,"['chaos', 'incarnate']",🚩Red Flag,['chaos']
Slightly addicted to TikTok and caffeine ☕📱,"['slightly', 'addicted', 'tiktok', 'caffeine']",🤷‍♂️No Clear Signal,[]
"Loves hiking, hates bugs.","['love', 'hiking', 'hate', 'bug']",🌿Green Flag,['love']
"Dog cuddler, snack sharer, heart stealer.","['dog', 'cuddler', 'snack', 'sharer', 'heart', 'stealer']",🌿Green Flag,['dog']
I laugh at memes more than life.,"['laugh', 'meme', 'life']",🌿Green Flag,"['laugh', 'life']"
"Dog lover, Netflix binger, chaos energy.","['dog', 'lover', 'netflix', 'binger', 'chaos', 'energy']",🙂Mixed Signal,"['dog', 'lover', 'chaos']"
"Obsessed with dogs, coffee, and spontaneity.","['obsessed', 'dog', 'coffee', 'spontaneity']",🙂Mixed Signal,"['dog', 'coffee', 'obsessed']"
I’m proud of the person I’ve become. Hope you are too.,"['im', 'proud', 'person', 'ive', 'become', 'hope']",🌿Green Flag,['hope']
I run on sarcasm and pizza,"['run', 'sarcasm', 'pizza']",🙂Mixed Signal,"['pizza', 'sarcasm']"
"I plan trips, cancel for naps.","['plan', 'trip', 'cancel', 'nap']",🤷‍♂️No Clear Signal,[]
Loves random road trips and coffee stops.,"['love', 'random', 'road', 'trip', 'coffee', 'stop']",🌿Green Flag,"['love', 'coffee']"
Living life one playlist at a time 🎶✨,"['living', 'life', 'one', 'playlist', 'time']",🌿Green Flag,['life']
might overthink,"['might', 'overthink']",🚩Red Flag,['overthink']
obsessed with memes,"['obsessed', 'meme']",🚩Red Flag,['obsessed']
Sweet but slightly messy.,"['sweet', 'slightly', 'messy']",🚩Red Flag,['messy']
"Fluent in movie quotes, sarcasm, and bad puns.","['fluent', 'movie', 'quote', 'sarcasm', 'bad', 'pun']",🙂Mixed Signal,"['fluent', 'sarcasm', 'bad']"
can be clingy,['clingy'],🌿Green Flag,['clingy']
overthinker & snack lover,"['overthinker', 'snack', 'lover']",🌿Green Flag,['lover']
"Dog mom, chaos enthusiast","['dog', 'mom', 'chaos', 'enthusiast']",🙂Mixed Signal,"['dog', 'enthusiast', 'chaos']"
"Cat lover, hates cuddles sometimes.","['cat', 'lover', 'hate', 'cuddle', 'sometimes']",🌿Green Flag,['lover']
ghosted me? now i’m hotter,"['ghosted', 'im', 'hotter']",🤷‍♂️No Clear Signal,[]
