bio,bio_cleaned,tokens,filtered_tokens,lemmatized_tokens
"Flirting: chaotic, unplanned, cute",flirting chaotic unplanned cute,"['flirting', 'chaotic', 'unplanned', 'cute']","['flirting', 'chaotic', 'unplanned', 'cute']","['flirt', 'chaotic', 'unplanned', 'cute']"
Night owl seeking fellow insomniac partner.,night owl seeking fellow insomniac partner,"['night', 'owl', 'seeking', 'fellow', 'insomniac', 'partner']","['night', 'owl', 'seeking', 'fellow', 'insomniac', 'partner']","['night', 'owl', 'seek', 'fellow', 'insomniac', 'partner']"
brunch over feelings,brunch over feelings,"['brunch', 'over', 'feelings']","['brunch', 'feelings']","['brunch', 'feeling']"
just vibing,just vibing,"['just', 'vibing']",['vibing'],['vibing']
"Pizza first, life second",pizza first life second,"['pizza', 'first', 'life', 'second']","['pizza', 'first', 'life', 'second']","['pizza', 'first', 'life', 'second']"
"Coffee addict, book hoarder, chaos lover.",coffee addict book hoarder chaos lover,"['coffee', 'addict', 'book', 'hoarder', 'chaos', 'lover']","['coffee', 'addict', 'book', 'hoarder', 'chaos', 'lover']","['coffee', 'addict', 'book', 'hoarder', 'chaos', 'lover']"
"Dog mom, chaos enthusiast",dog mom chaos enthusiast,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']"
Flirt level: expert,flirt level expert,"['flirt', 'level', 'expert']","['flirt', 'level', 'expert']","['flirt', 'level', 'expert']"
"Can be too honest, too fast. ⚡",can be too honest too fast,"['can', 'be', 'too', 'honest', 'too', 'fast']","['honest', 'fast']","['honest', 'fast']"
"Fluent in sarcasm, bad jokes, and chaos.",fluent in sarcasm bad jokes and chaos,"['fluent', 'in', 'sarcasm', 'bad', 'jokes', 'and', 'chaos']","['fluent', 'sarcasm', 'bad', 'jokes', 'chaos']","['fluent', 'sarcasm', 'bad', 'joke', 'chaos']"
love horror & memes,love horror  memes,"['love', 'horror', 'memes']","['love', 'horror', 'memes']","['love', 'horror', 'meme']"
obsesses over minor things,obsesses over minor things,"['obsesses', 'over', 'minor', 'things']","['obsesses', 'minor', 'things']","['obsesses', 'minor', 'thing']"
I trip over flat surfaces… elegantly,i trip over flat surfaces elegantly,"['i', 'trip', 'over', 'flat', 'surfaces', 'elegantly']","['trip', 'flat', 'surfaces', 'elegantly']","['trip', 'flat', 'elegantly']"
might overthink,might overthink,"['might', 'overthink']","['might', 'overthink']","['might', 'overthink']"
love coffee and chaos,love coffee and chaos,"['love', 'coffee', 'and', 'chaos']","['love', 'coffee', 'chaos']","['love', 'coffee', 'chaos']"
pizza & chaos energy,pizza  chaos energy,"['pizza', 'chaos', 'energy']","['pizza', 'chaos', 'energy']","['pizza', 'chaos', 'energy']"
Beach days > everything else 🌊☀️,beach days  everything else,"['beach', 'days', 'everything', 'else']","['beach', 'days', 'everything', 'else']","['beach', 'day', 'everything', 'else']"
shy af,shy af,"['shy', 'af']","['shy', 'af']","['shy', 'af']"
"Pizza first, life second",pizza first life second,"['pizza', 'first', 'life', 'second']","['pizza', 'first', 'life', 'second']","['pizza', 'first', 'life', 'second']"
"Loves karaoke, dance-offs, and ice cream.",loves karaoke danceoffs and ice cream,"['loves', 'karaoke', 'danceoffs', 'and', 'ice', 'cream']","['loves', 'karaoke', 'danceoffs', 'ice', 'cream']","['love', 'karaoke', 'ice', 'cream']"
binge watcher forever,binge watcher forever,"['binge', 'watcher', 'forever']","['binge', 'watcher', 'forever']","['binge', 'watcher', 'forever']"
I dance badly but confidently,i dance badly but confidently,"['i', 'dance', 'badly', 'but', 'confidently']","['dance', 'badly', 'confidently']","['dance', 'badly', 'confidently']"
