bio,gender,age,city,platform
likes small adventures,Non-binary,19,Chicago,Tinder
"love memes, hate fake ppl",Non-binary,42,Philadelphia,Hinge
"Loves camping, bad jokes, and good snacks.",Non-binary,39,LA,CMB
sarcastic queen,Female,34,San Fransisco,OkCupid
chill but intentional. open but grounded.,Non-binary,43,Philadelphia,OkCupid
"I flirt, overthink, repeat.",Male,40,Dallas,CMB
Just here to pet your dog,Female,33,Las Vegas,Bumble
emojis > humans,Non-binary,18,Dallas,CMB
Amateur painter looking for inspiration and snacks.,Non-binary,22,Houston,CMB
"Pet lover, sometimes overreacts.",Female,35,Las Vegas,Bumble
coffee > responsibilities,Non-binary,29,Houston,Bumble
love dogs,Male,29,Dallas,CMB
"I’ll steal your fries, maybe your heart.",Non-binary,22,Philadelphia,OkCupid
loves books & tacos,Male,32,Houston,Tinder
"Introverted extrovert, mostly introvert",Non-binary,23,Chicago,Bumble
tacos before love,Female,18,Philadelphia,OkCupid
"Pro at awkward silences, lover of chaos",Male,19,Philadelphia,OkCupid
i flirt with my words not with games,Non-binary,40,New York,Hinge
don’t even bother,Female,33,Dallas,Hinge
pizza addict,Male,39,San Fransisco,Tinder
Will challenge you to Mario Kart and crush your soul,Female,21,Las Vegas,Tinder
cat mom 🐱,Male,29,Dallas,Tinder
i ghost ppl unintentionally,Female,30,Las Vegas,Hinge
Flirt level: expert,Male,21,Philadelphia,OkCupid
obsessed w candles,Non-binary,38,Chicago,OkCupid
i text back. i ask questions. i show up.,Non-binary,27,Philadelphia,Hinge
Flirting like it’s my full-time job,Female,27,San Fransisco,Tinder
i ghost sometimes deal,Female,30,New York,Bumble
"Loves dogs, forgets small promises.",Non-binary,32,San Fransisco,CMB
messy but cute,Male,43,San Fransisco,Tinder
"Might ghost you, but I’ll text back when I miss you. 😅",Male,43,Las Vegas,OkCupid
"I respect boundaries, timelines, and your taste in music",Non-binary,39,Philadelphia,Bumble
lowkey awesome,Non-binary,42,New York,CMB
"I smile, I tease, I confuse. 😏🎭",Female,37,Houston,Bumble
pizza is life,Male,22,Chicago,Hinge
I want something that feels like home,Male,36,New York,Bumble
"I flirt, then disappear into thin air.",Female,34,Las Vegas,Hinge
i scream at movies,Female,20,New York,Hinge
"Love slow mornings, deep convos, & ppl who text back ☕🌱",Male,43,LA,CMB
Professional chaos coordinator,Male,43,San Fransisco,Bumble
"Obsessed with stars, memes, and pizza. ✨😂🍕",Non-binary,30,Chicago,OkCupid
i binge too much,Female,19,Las Vegas,Bumble
"coffee in hand, chaos in mind",Female,20,Houston,Tinder
hates mornings,Non-binary,30,Las Vegas,Bumble
Plant collector seeking green thumb friend.,Female,19,New York,CMB
Introvert seeking mutual ignoring,Non-binary,34,Philadelphia,CMB
"you bring the spark, I’ll bring the stability",Female,41,Dallas,Bumble
might ghost accidentally,Non-binary,18,New York,Tinder
bored rn,Female,42,New York,CMB
TRAVEL IS LIFE,Non-binary,20,Dallas,CMB
"Adventure seeker, flakes mid-week.",Male,43,Las Vegas,Hinge
"Professional overthinker, amateur napper",Non-binary,22,Houston,OkCupid
