bio,gender,age,city,gender,platform,filtered_tokens,lemmatized_tokens,flag_classification,reason
"Flirting: chaotic, unplanned, cute",Female,19,Chicago,Female,CMB,"['flirting', 'chaotic', 'unplanned', 'cute']","['flirt', 'chaotic', 'unplanned', 'cute']",🚩Red Flag,"flirt, flirt, chaotic"
Night owl seeking fellow insomniac partner.,Non-binary,28,Philadelphia,Non-binary,Hinge,"['night', 'owl', 'seeking', 'fellow', 'insomniac', 'partner']","['night', 'owl', 'seek', 'fellow', 'insomniac', 'partner']",🤷‍♂️No Clear Signal,
brunch over feelings,Female,20,LA,Female,CMB,"['brunch', 'feelings']","['brunch', 'feeling']",🚩Red Flag,"brunch, feeling"
just vibing,Male,22,Houston,Male,Hinge,['vibing'],['vibing'],🤷‍♂️No Clear Signal,
"Pizza first, life second",Female,37,Philadelphia,Female,Tinder,"['pizza', 'first', 'life', 'second']","['pizza', 'first', 'life', 'second']",🌿Green Flag,"life, pizza, pizza"
"Coffee addict, book hoarder, chaos lover.",Male,44,Chicago,Male,Hinge,"['coffee', 'addict', 'book', 'hoarder', 'chaos', 'lover']","['coffee', 'addict', 'book', 'hoarder', 'chaos', 'lover']",🚩Red Flag,"chaos, coffee, lover, coffee, chaos"
"Dog mom, chaos enthusiast",Non-binary,22,LA,Non-binary,Hinge,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']",🚩Red Flag,"chaos, dog, enthusiast, dog, chaos"
Flirt level: expert,Female,44,Las Vegas,Female,Tinder,"['flirt', 'level', 'expert']","['flirt', 'level', 'expert']",🚩Red Flag,"flirt, flirt"
"Can be too honest, too fast. ⚡",Non-binary,33,Houston,Non-binary,Bumble,"['honest', 'fast']","['honest', 'fast']",🌿Green Flag,honest
"Fluent in sarcasm, bad jokes, and chaos.",Non-binary,42,Chicago,Non-binary,Tinder,"['fluent', 'sarcasm', 'bad', 'jokes', 'chaos']","['fluent', 'sarcasm', 'bad', 'joke', 'chaos']",🚩Red Flag,"sarcasm, bad, bad, chaos, bad, fluent, chaos, fluent"
love horror & memes,Male,31,Philadelphia,Male,Hinge,"['love', 'horror', 'memes']","['love', 'horror', 'meme']",🌿Green Flag,"love, meme"
obsesses over minor things,Male,42,Las Vegas,Male,Hinge,"['obsesses', 'minor', 'things']","['obsesses', 'minor', 'thing']",🤷‍♂️No Clear Signal,
I trip over flat surfaces… elegantly,Non-binary,30,Philadelphia,Non-binary,OkCupid,"['trip', 'flat', 'surfaces', 'elegantly']","['trip', 'flat', 'elegantly']",🤷‍♂️No Clear Signal,
might overthink,Female,25,Philadelphia,Female,OkCupid,"['might', 'overthink']","['might', 'overthink']",🚩Red Flag,"overthink, overthink, overthink"
love coffee and chaos,Non-binary,39,Houston,Non-binary,OkCupid,"['love', 'coffee', 'chaos']","['love', 'coffee', 'chaos']",🚩Red Flag,"chaos, coffee, love, coffee, chaos"
pizza & chaos energy,Male,32,Chicago,Male,OkCupid,"['pizza', 'chaos', 'energy']","['pizza', 'chaos', 'energy']",🚩Red Flag,"chaos, pizza, pizza, chaos"
Beach days > everything else 🌊☀️,Non-binary,41,New York,Non-binary,CMB,"['beach', 'days', 'everything', 'else']","['beach', 'day', 'everything', 'else']",🤷‍♂️No Clear Signal,
shy af,Male,38,Chicago,Male,Hinge,"['shy', 'af']","['shy', 'af']",🤷‍♂️No Clear Signal,
"Pizza first, life second",Non-binary,23,New York,Non-binary,Bumble,"['pizza', 'first', 'life', 'second']","['pizza', 'first', 'life', 'second']",🌿Green Flag,"life, pizza, pizza"
"Loves karaoke, dance-offs, and ice cream.",Male,24,New York,Male,OkCupid,"['loves', 'karaoke', 'danceoffs', 'ice', 'cream']","['love', 'karaoke', 'ice', 'cream']",🌿Green Flag,love
binge watcher forever,Non-binary,36,Philadelphia,Non-binary,Tinder,"['binge', 'watcher', 'forever']","['binge', 'watcher', 'forever']",🤷‍♂️No Clear Signal,
I dance badly but confidently,Non-binary,41,Las Vegas,Non-binary,OkCupid,"['dance', 'badly', 'confidently']","['dance', 'badly', 'confidently']",🌿Green Flag,"dance, dance"
Currently ignoring adulthood creatively,Male,44,Las Vegas,Male,OkCupid,"['currently', 'ignoring', 'adulthood', 'creatively']","['currently', 'ignore', 'adulthood', 'creatively']",🙂Mixed Flag,currently
"Pancakes for breakfast, sarcasm for dinner.",Non-binary,29,New York,Non-binary,CMB,"['pancakes', 'breakfast', 'sarcasm', 'dinner']","['pancake', 'breakfast', 'sarcasm', 'dinner']",🚩Red Flag,sarcasm
"Loves photography, forgets to respond.",Non-binary,19,Houston,Non-binary,CMB,"['loves', 'photography', 'forgets', 'respond']","['love', 'photography', 'forgets', 'respond']",🌿Green Flag,love
love pizza more than ppl,Male,38,Houston,Male,CMB,"['love', 'pizza', 'ppl']","['love', 'pizza', 'ppl']",🌿Green Flag,"love, pizza, pizza"
messy bun & chaos,Non-binary,26,LA,Non-binary,Bumble,"['messy', 'bun', 'chaos']","['messy', 'bun', 'chaos']",🚩Red Flag,"messy, messy, chaos, chaos, messy"
Beach bum with a love for books.,Non-binary,42,Philadelphia,Non-binary,CMB,"['beach', 'bum', 'love', 'books']","['beach', 'bum', 'love', 'book']",🌿Green Flag,love
